SerialNumber,ProductName,Product,RepClass,Product Class,INTERFACE
22605,SP712ML GRY US,SP712ML,SP(x),IMPACT,No Interface
22606,SP712MCR,SP712MC R,SP(x),IMPACT,Parallel
22607,SP742MBI3   US,SP742MBI3  ,SP(x),IMPACT,Bluetooth
22609,SP742ME3  GRY EU,SP742ME3,SP(x),IMPACT,Ethernet
22610,NLA PDN SP742MC US,SP742MC,SP(x),IMPACT,Parallel
22611,SP742MC  GRY,SP742MC,SP(x),IMPACT,Parallel
22612,SP742MD,SP742MD,SP(x),IMPACT,Serial
22613,SP742MD GRY US,SP742MD,SP(x),IMPACT,Serial
22614,NLA PDN SP742MD US,SP742MD,SP(x),IMPACT,No Interface
22615,SP742MU GRY US,SP742MU,SP(x),IMPACT,USB
22616,SP742MCR,SP742MC R,SP(x),IMPACT,Parallel
22617,NLA 39336531 SP742M,SP742M,SP(x),IMPACT,No Interface
22618,SP742ME3  GRY,SP742ME3,SP(x),IMPACT,Ethernet
22619,SP742ME3  GRY UK,SP742ME3,SP(x),IMPACT,Ethernet
22620,SP712MC  CH,SP712MC ,SP(x),IMPACT,Parallel
22621,SP712MC  GRY CH,SP712MC,SP(x),IMPACT,Parallel
22622,SP712MD  CH,SP712MD ,SP(x),IMPACT,Serial
22623,SP712MD  GRY CH,SP712MD,SP(x),IMPACT,Serial
22624,SP712M  CH,SP712M ,SP(x),IMPACT,No Interface
22625,SP712M  GRY CH,SP712M,SP(x),IMPACT,No Interface
22630,SP742MC  CH,SP742MC ,SP(x),IMPACT,Parallel
22631,SP742MC  GRY CH,SP742MC,SP(x),IMPACT,Parallel
22632,SP742MD  CH,SP742MD ,SP(x),IMPACT,Serial
22633,SP742MD  GRY CH,SP742MD,SP(x),IMPACT,Serial
22634,SP742M  CH,SP742M ,SP(x),IMPACT,No Interface
22635,SP742M  GRY CH,SP742M,SP(x),IMPACT,No Interface
22641,SP700_9,SP700_9,SP(x),IMPACT,No Interface
22642,SP742ME GRY US,SP742ME,SP(x),IMPACT,Ethernet
22645,SP742ME    GRY LC6 US,SP742ME ,SP(x),IMPACT,Ethernet
22646,SP742ME    GRY US,SP742ME  ,SP(x),IMPACT,Ethernet
22647,SP742ME3  GRY,SP742ME3,SP(x),IMPACT,Ethernet
22648,NLA 39336532 SP742M,SP742M,SP(x),IMPACT,Ethernet
22649,SP742ME3  GRY,SP742ME3,SP(x),IMPACT,Ethernet
22650,SP742MC GRY BR,SP742MC BR,SP(x),IMPACT,Parallel
22651,SP742MD GRY BR,SP742MD BR,SP(x),IMPACT,Serial
22652,SP742MU GRY BR,SP742MU BR,SP(x),IMPACT,USB
22653,SP742ME GRY BR,SP742ME BR,SP(x),IMPACT,Ethernet
22654,SP742ME GRY BR,SP742ME BR,SP(x),IMPACT,Ethernet
22655,SP742ME GRY BR,SP742ME BR,SP(x),IMPACT,Ethernet
22660,SP712MC  HK,SP712MC,SP(x),IMPACT,Parallel
22661,SP712MC  GRY HK,SP712MC,SP(x),IMPACT,Parallel
22662,SP712MD  HK,SP712MD,SP(x),IMPACT,Serial
22663,SP712MD  GRY HK,SP712MD,SP(x),IMPACT,Serial
22664,SP712M  HK,SP712M,SP(x),IMPACT,No Interface
22665,SP712M  GRY HK,SP712M,SP(x),IMPACT,No Interface
22670,SP742MC  HK,SP742MC,SP(x),IMPACT,Parallel
22671,SP742MC  GRY HK,SP742MC,SP(x),IMPACT,Parallel
22672,SP742MD  HK,SP742MD,SP(x),IMPACT,Serial
22673,SP742MD  GRY HK,SP742MD,SP(x),IMPACT,Serial
22674,SP742M  HK,SP742M,SP(x),IMPACT,No Interface
22675,SP742M  GRY HK,SP742M,SP(x),IMPACT,No Interface
22676,SP742ME3　　　GRY　HK2,SP742ME3,SP(x),IMPACT,Ethernet
22680,SP742MC　OKI　EU,SP742MC,SP(x),IMPACT,Parallel
22681,SP742MC　GRY OKI EU,SP742MC ,SP(x),IMPACT,Parallel
22682,SP742MD　OKI　EU,SP742MD,SP(x),IMPACT,Serial
22683,SP742MD　GRY OKI EU,SP742MD ,SP(x),IMPACT,Serial
22684,SP742MU　OKI　EU,SP742MU,SP(x),IMPACT,USB
22685,SP742MU　GRY OKI EU,SP742MU ,SP(x),IMPACT,USB
